Facility ID,LGA Name,Facility Name,Facility_AutoNumber,Street #,Street Name,Street Type,Suburb/Town,Pcode,Melway Ref,VicRoads Ref,Latitude,Longitude,Facility Ownership,Facility Purpose,Facility Category,CFA Safer Place?,Access_,FaciltySportPlayedID,Facility ID,Sports Played,Number of Field/Courts,Field/Surface Type,Age of Facility,Condition of Facility,Facility Upgrade Age,Changerooms,Facility Features,Spectator numbers for seating/shelter,FullAddress,MelwaysVicRoadsRef
MITCHE3674,,Vermont South Club,3674,,Coronation,Avenue,BRIGHT,3741,,661 P4,-37.851683,145.180228,,,,FALSE,,24664,MITCHE3674,,,,,,,,,," Coronation Avenue, BRIGHT 3741",661 P4
MITCHE3674,,Vermont South Club,3674,,Coronation,Avenue,BRIGHT,3741,,661 P4,-37.851683,145.180228,,,,FALSE,,24662,MITCHE3674,Australian Rules Football,1.00,Grass,,,,,,," Coronation Avenue, BRIGHT 3741",661 P4
MITCHE3674,,Vermont South Club,3674,,Coronation,Avenue,BRIGHT,3741,,661 P4,-37.851683,145.180228,,,,FALSE,,24663,MITCHE3674,Cricket,1.00,Synthetic Pitch,,,,,,," Coronation Avenue, BRIGHT 3741",661 P4
MITCHE3674,,Vermont South Club,3674,,Coronation,Avenue,BRIGHT,3741,,661 P4,-37.851683,145.180228,,,,FALSE,,24665,MITCHE3674,Netball,1.00,Asphalt,,,,,,," Coronation Avenue, BRIGHT 3741",661 P4
MITCHE3674,,Vermont South Club,3674,,Coronation,Avenue,BRIGHT,3741,,661 P4,-37.851683,145.180228,,,,FALSE,,24666,MITCHE3674,Tennis (Outdoor),4.00,Artificial Turf,,,,,,," Coronation Avenue, BRIGHT 3741",661 P4
ALPINE5519,Alpine Shire Council,Pioneer Park Recreation Reserve,5519,,Coronation,Avenue,BRIGHT,3741,,661 P4,-36.737199,146.973353,,,,FALSE,,27869,ALPINE5519,,,,,,,,,," Coronation Avenue, BRIGHT 3741",661 P4
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,3667,,Pool,Road,MOUNT BEAUTY,3699,,660 G11,-36.740988,147.168502,,,,FALSE,,24692,ALPINE10930,Aerobics,1.00,,,,,,,," Pool Road, MOUNT BEAUTY 3699",660 G11
ALPINE10928,Alpine Shire Council ,Mount Beauty recreation Reserve,3668,,Lakeside ,Avenue,MOUNT BEAUTY,3699,,660 H10,-36.739256,147.172162,,,,FALSE,,24684,ALPINE10928,Athletics,1.00,Grass Running Track,,,,,,," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
ALPINE10924,Alpine Shire Council ,Dederang Recreation reserve,3658,,Kiewa-Valley,Hwy,DEDERANG,3691,,36 B9,-36.475264,147.020525,,,,FALSE,,24677,ALPINE10924,Australian Rules Football,1.00,Grass,,,,,,," Kiewa-Valley Hwy, DEDERANG 3691",36 B9
ALPINE10928,Alpine Shire Council ,Mount Beauty recreation Reserve,3668,,Lakeside ,Avenue,MOUNT BEAUTY,3699,,660 H10,-36.739256,147.172162,,,,FALSE,,24685,ALPINE10928,Australian Rules Football,1.00,Grass,,,,,,," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
ALPINE5519,Alpine Shire Council,Pioneer Park Recreation Reserve,5519,,Coronation,Avenue,BRIGHT,3741,,661 P4,-36.737199,146.973353,,,,FALSE,,27853,ALPINE5519,Australian Rules Football,1.00,Grass,,,,,,," Coronation Avenue, BRIGHT 3741",661 P4
ALPINE10932,Alpine Shire Council ,RC McNamara Reserve,3676,,Lewis ,Avenue,MYRTLEFORD,3737,,660 B7,-36.567524,146.723777,,,,FALSE,,24702,ALPINE10932,Australian Rules Football,1.00,Grass,,,,,,," Lewis  Avenue, MYRTLEFORD 3737",660 B7
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,3667,,Pool,Road,MOUNT BEAUTY,3699,,660 G11,-36.740988,147.168502,,,,FALSE,,24693,ALPINE10930,Badminton,1.00,Wooden Gymnasium,,,,,,," Pool Road, MOUNT BEAUTY 3699",660 G11
ALPINE10942,Alpine Shire Council ,Porepunkah Recreation Reserve,3675,,Martley,Street,POREPUNKAH,3740,,661 M11,-36.698109,146.910729,,,,FALSE,,24719,ALPINE10942,Baseball,1.00,Grass,,,,,,," Martley Street, POREPUNKAH 3740",661 M11
ALPINE10919,Alpine Shire Council ,Bright Community Sports Stadium,3650,,Deacon,Avenue,BRIGHT,3741,,661 P4,-36.733294,146.963623,,,,FALSE,,24671,ALPINE10919,Basketball,2.00,Wooden Gymnasium,,,,,,," Deacon Avenue, BRIGHT 3741",661 P4
ALPINE10930,Alpine Shire Council ,Mount Beauty Pool & Stadium,3667,,Pool,Road,MOUNT BEAUTY,3699,,660 G11,-36.740988,147.168502,,,,FALSE,,24694,ALPINE10930,Basketball,1.00,Wooden Gymnasium,,,,,,," Pool Road, MOUNT BEAUTY 3699",660 G11
ALPINE10941,Alpine Shire Council ,Myrtleford Indoor Sports Complex,3671,,O'donnel,Avenue,MYRTLEFORD,3737,,663 D3,-36.552593,146.725872,,,,FALSE,,24716,ALPINE10941,Basketball,1.00,Wooden Gymnasium,,,,,,," O'donnel Avenue, MYRTLEFORD 3737",663 D3
ALPINE10928,Alpine Shire Council ,Mount Beauty recreation Reserve,3668,,Lakeside ,Avenue,MOUNT BEAUTY,3699,,660 H10,-36.739256,147.172162,,,,FALSE,,24686,ALPINE10928,BMX,1.00,Dirt,,,,,,," Lakeside  Avenue, MOUNT BEAUTY 3699",660 H10
ALPINE10934,Alpine Shire Council ,Myrtleford Savoy Sports Club,3673,254,Myrtle  ,Street,MYRTLEFORD,3737,,660 B5,-36.553518,146.715794,,,,FALSE,,24706,ALPINE10934,Bocce,7.00,,,,,,,,"254 Myrtle   Street, MYRTLEFORD 3737",660 B5
ALPINE10944,Alpine Shire Council ,Alpine Park Wandiligong,3647,,White Star ,Road,WANDILIGONG,3744,,50 A6,-36.765294,146.977687,,,,FALSE,,24722,ALPINE10944,Cricket,1.00,Synthetic Pitch,,,,,,," White Star  Road, WANDILIGONG 3744",50 A6
ALPINE10918,Alpine Shire Council ,Bright p-12 College,3652,,Bakers Gully ,Road,BRIGHT,3741,,661 O6,-36.733701,146.962508,,,,FALSE,,24669,ALPINE10918,Cricket,1.00,Synthetic Pitch,,,,,,," Bakers Gully  Road, BRIGHT 3741",661 O6
ALPINE10924,Alpine Shire Council ,Dederang Recreation reserve,3658,,Kiewa-Valley,Hwy,DEDERANG,3691,,36 B9,-36.475264,147.020525,,,,FALSE,,24678,ALPINE10924,Cricket,1.00,Turf Pitch,,,,,,," Kiewa-Valley Hwy, DEDERANG 3691",36 B9
ALPINE10925,Alpine Shire Council ,Gapsted Recreation reserve,3659,,Lower River,Road,GAPSTED,3737,,49 C2,-36.505019,146.676961,,,,FALSE,,24681,ALPINE10925,Cricket,1.00,Synthetic Pitch,,,,,,," Lower River Road, GAPSTED 3737",49 C2
ALPINE10927,Alpine Shire Council ,Harrietville Recreation reserve,3661,,Charlie Miley,Road,HARRIETVILLE,3741,,662 C4,-36.895455,147.059682,,,,FALSE,,24683,ALPINE10927,Cricket,1.00,Synthetic Pitch,,,,,,," Charlie Miley Road, HARRIETVILLE 3741",662 C4
ALPINE10937,Alpine Shire Council ,Marian College,3664,,O'donnel,Avenue,MYRTLEFORD,3737,,663 D3,-36.552593,146.725872,,,,FALSE,,24712,ALPINE10937,Cricket,1.00,Synthetic Pitch,,,,,,," O'donnel Avenue, MYRTLEFORD 3737",663 D3
ALPINE10935,Alpine Shire Council ,Memorial Park,3665,,Duke ,Street,MYRTLEFORD,3737,,660 C5,-36.555836,146.723887,,,,FALSE,,24708,ALPINE10935,Cricket,1.00,Synthetic Pitch,,,,,,," Duke  Street, MYRTLEFORD 3737",660 C5
